ciudad,max_min,tempEnero,tempFebrero,tempMarzo,tempAbril,tempMayo,tempJunio,tempJulio,tempAgosto,tempSept,tempOctubre,tempNov,tempDic
El Carmen de Viboral,max,21,21,21,21,22,22,22,22,22,21,20,21
El Carmen de Viboral,min,13,13,13,13,13,13,12,12,13,13,13,13
El Cerrito,max,29,29,29,29,29,29,30,30,29,28,28,28
El Cerrito,min,19,19,19,19,19,19,19,19,19,19,19,19
El Copey,max,36,37,38,37,35,35,36,35,34,33,33,35
El Copey,min,23,25,26,26,25,25,25,24,24,23,23,23
El Doncello,max,31,31,30,30,29,29,30,31,31,30,29,30
El Doncello,min,22,22,22,22,22,22,22,22,22,22,22,22
El Paso,max,37,38,38,37,36,36,37,37,35,33,33,35
El Paso,min,24,25,26,26,25,25,25,25,24,24,24,24
El Paujil,max,31,31,30,29,29,29,29,30,31,30,29,30
El Paujil,min,22,22,22,22,22,22,22,22,22,22,22,22
El Retorno,max,30,30,30,29,28,27,27,28,29,29,28,29
El Retorno,min,22,22,23,23,22,22,22,22,22,22,22,22
El Tambo,max,24,24,24,24,24,24,25,25,25,24,23,23
El Tambo,min,15,15,15,15,15,15,15,15,15,15,14,15
El Zulia,max,30,31,31,32,32,32,32,33,33,32,31,30
El Zulia,min,23,23,24,24,25,25,25,25,25,24,24,23
Envigado,max,24,24,25,25,25,25,25,25,25,24,24,24
Envigado,min,16,17,17,17,17,16,16,16,16,16,17,17
Espinal,max,35,35,35,34,34,34,35,36,36,34,33,34
Espinal,min,23,24,24,24,24,24,24,24,24,24,24,24
Facatativá,max,19,19,19,19,18,18,18,19,19,18,18,19
Facatativá,max,19,19,19,19,18,18,18,19,19,18,18,19
Facatativá,min,7,8,8,9,9,9,9,8,8,8,8,7
Facatativá,min,7,8,8,9,9,9,9,8,8,8,8,7
Florencia,max,31,31,30,30,30,30,30,30,31,30,29,30
Florencia,min,23,23,22,22,22,22,22,23,23,22,22,22
Florida,max,29,30,29,29,29,29,30,30,30,29,28,29
Florida,min,19,20,20,20,19,19,19,19,19,19,19,19
Floridablanca,max,26,26,26,26,26,26,26,26,26,26,25,26
Floridablanca,min,20,20,20,21,21,20,20,20,20,20,20,20
Fonseca,max,31,32,32,32,32,32,32,32,32,31,31,31
Fonseca,min,22,22,23,24,24,25,24,24,24,24,24,23
Fredonia,max,24,24,24,24,24,24,25,25,24,24,23,24
Fredonia,min,16,16,17,17,17,17,16,16,16,16,16,16
Fresno,max,26,26,26,25,25,25,26,26,26,25,25,25
Fresno,min,16,17,17,17,17,17,17,17,17,17,17,17
Frontino,max,24,24,24,24,24,25,24,24,24,24,24,24
Frontino,min,17,17,17,17,17,17,16,16,16,16,17,17
Fundación,max,36,36,37,36,35,35,35,35,34,33,33,34
Fundación,min,24,25,26,26,26,26,25,25,25,24,24,24
Funza,max,19,19,19,19,19,18,18,18,19,19,19,19
Funza,max,19,19,19,19,19,18,18,18,19,19,19,19
Funza,min,7,8,9,10,10,9,9,9,8,9,9,8
Funza,min,7,8,9,10,10,9,9,9,8,9,9,8
Fusagasuga,max,25,25,24,24,24,24,23,24,24,24,24,24
Fusagasuga,max,25,25,24,24,24,24,23,24,24,24,24,24
Fusagasuga,min,13,14,15,15,15,15,14,14,14,14,14,14
Fusagasuga,min,13,14,15,15,15,15,14,14,14,14,14,14
Galapa,max,30,30,31,31,32,32,31,32,31,31,31,30
Galapa,min,24,24,24,25,25,25,25,25,25,24,25,24
Garzón,max,28,28,28,27,27,27,28,28,29,28,27,27
Garzón,min,20,20,20,20,20,20,20,20,20,20,20,20
Gigante,max,28,28,28,28,28,28,28,29,29,28,27,28
Gigante,min,20,20,20,20,20,20,20,20,20,20,20,20
Ginebra,max,29,29,29,29,29,29,29,30,29,28,28,28
Ginebra,min,19,19,19,19,19,19,19,19,19,19,19,19
Girardot City,max,35,35,35,34,34,34,35,36,35,34,33,34
Girardot City,min,23,24,24,24,24,24,24,24,24,24,24,24
Girón,max,27,27,27,27,27,27,27,27,27,27,26,27
Girón,min,21,21,22,22,22,21,21,21,21,21,21,21
Granada,max,31,31,31,30,30,29,28,29,30,30,30,30
Granada,min,20,20,21,22,22,22,21,21,21,21,21,20
Guacarí,max,29,29,29,29,29,29,29,30,29,28,28,28
Guacarí,min,19,19,19,20,20,19,19,19,19,19,19,19
Guaduas,max,28,28,28,27,27,28,28,28,28,27,27,27
Guaduas,min,18,18,19,19,19,19,18,18,18,18,18,18
Guamal,max,36,38,38,36,34,34,35,34,32,31,31,34
Guamal,min,25,26,26,26,26,26,26,26,25,25,24,24
Guamo,max,36,36,36,34,34,35,36,37,37,35,34,34
Guamo,min,23,24,24,24,24,24,24,24,24,24,24,24
Guapi,max,30,30,30,30,30,30,31,31,31,30,30,30
Guapi,min,24,24,24,24,24,24,24,24,24,24,24,24
Guarne,max,20,20,20,20,21,21,21,21,20,20,20,20
Guarne,min,12,12,12,12,12,12,11,11,12,12,12,12
Honda,max,33,34,33,33,33,33,33,34,34,32,32,32
Honda,min,24,24,24,25,25,24,24,24,24,24,24,24
Ibagué,max,28,28,27,27,26,26,27,28,28,27,26,27
Ibagué,min,18,18,18,18,18,18,17,18,18,18,18,18
Inírida,max,29,30,30,29,28,27,27,28,28,29,28,29
Inírida,min,23,23,24,23,23,23,23,23,23,23,23,23
Inzá,max,23,23,23,23,23,22,23,23,24,23,22,23
Inzá,min,14,14,14,14,14,14,13,14,14,14,14,14
Ipiales,max,18,18,18,18,17,17,17,18,18,18,18,18
Ipiales,min,10,10,10,10,9,9,9,9,9,9,9,9
Isnos,max,22,22,22,22,22,21,21,22,22,22,21,22
Isnos,min,14,14,14,14,14,14,14,14,14,14,14,14
Istmina,max,31,31,31,30,30,30,31,31,30,30,29,30
Istmina,min,24,24,24,24,25,25,25,24,24,24,24,24
Itagüí,max,25,25,25,25,25,25,25,25,25,24,24,24
Itagüí,min,17,17,17,17,17,17,16,16,16,17,17,17
Jamundí,max,29,29,29,28,28,29,29,29,29,28,28,28
Jamundí,min,19,19,19,19,20,19,19,19,19,19,19,19
La Calera,max,17,17,17,17,16,16,15,15,16,16,17,17
La Calera,min,5,6,7,8,8,7,7,7,6,7,7,6
La Ceja,max,20,21,21,21,21,21,21,21,21,20,20,20
La Ceja,min,12,12,13,13,13,12,12,12,12,12,12,12
La Dorada,max,34,34,34,33,33,33,34,35,34,33,32,33
La Dorada,min,34,34,34,33,33,33,34,35,34,33,32,33
La Estrella,max,23,23,23,23,24,24,24,24,23,23,23,23
La Estrella,min,15,15,15,16,16,15,15,15,15,15,15,15
La Jagua de Ibirico,max,35,36,37,36,34,34,35,35,34,32,32,33
La Jagua de Ibirico,min,23,24,25,25,25,25,25,25,25,24,24,23
La Macarena,max,31,31,31,29,28,28,28,30,31,30,29,29
La Macarena,min,22,23,23,23,22,22,21,22,22,22,22,22
La Montañita,max,31,31,30,30,29,29,29,30,31,30,29,30
La Montañita,min,23,23,23,22,22,22,22,22,23,22,22,22
La Plata,max,28,28,27,27,27,27,27,28,28,27,27,27
La Plata,min,19,19,19,19,18,18,18,18,19,19,18,19
La Primavera,max,34,36,35,33,31,29,28,29,30,30,30,31
La Primavera,min,23,24,25,24,23,23,22,23,23,23,23,23
La Tebaida,max,27,28,27,27,27,27,28,28,27,26,26,27
La Tebaida,min,18,18,18,18,19,18,18,18,18,18,18,18
La Unión (Nariño),max,23,23,23,23,23,23,23,24,24,23,23,23
La Unión (Nariño),min,15,15,15,15,15,14,13,13,14,14,15,15
La Unión (Valle del Cauca),max,27,27,27,27,27,27,28,28,27,26,26,26
La Unión (Valle del Cauca),min,19,19,19,19,19,19,19,19,19,19,19,19
La Vega,max,28,28,28,27,27,28,28,28,28,27,27,27
La Vega,min,17,18,18,19,19,18,18,18,18,18,18,17
La Virginia,max,28,29,28,28,28,28,28,29,28,27,27,28
La Virginia,min,20,21,21,21,21,21,21,20,20,20,20,20
Lebrija,max,25,25,26,25,25,25,25,25,25,25,24,25
Lebrija,min,19,19,20,20,20,20,19,19,19,19,19,19
Lenguazaque,max,18,18,18,18,17,17,16,16,17,17,18,18
Lenguazaque,min,6,7,8,9,9,8,8,7,7,8,8,7
Leticia,max,30,30,30,30,29,29,30,31,31,31,31,30
Leticia,min,23,23,23,23,23,22,22,22,22,23,23,23
Líbano,max,25,25,25,24,24,24,25,25,25,24,24,24
Líbano,min,15,16,16,16,16,16,16,16,16,16,16,15
Los Córdobas,max,31,32,32,31,30,30,30,30,29,29,30,30
Los Córdobas,min,25,25,25,25,26,26,26,26,25,25,25,25
Los Patios,max,30,30,30,31,31,31,31,32,33,32,31,30
Los Patios,min,21,22,22,23,24,24,24,24,24,23,22,22
Luruaco,max,31,32,32,32,32,32,32,32,32,31,31,31
Luruaco,min,24,24,24,25,25,25,25,25,25,24,24,24
Madrid,max,19,20,19,19,19,19,18,19,19,19,19,19
Madrid,min,7,8,9,10,10,9,9,9,8,9,9,8
Magangué,max,35,36,37,36,34,34,34,34,33,32,32,34
Magangué,min,24,24,25,25,25,24,24,24,24,23,23,23
Mahates,max,34,34,34,34,33,33,34,33,33,32,32,33
Mahates,min,24,24,25,25,25,25,25,25,25,24,24,24
Maicao,max,30,30,31,31,31,31,31,32,31,31,31,30
Maicao,min,24,24,24,25,26,26,26,26,25,25,25,24
Majagual,max,34,36,37,35,32,32,32,32,31,30,30,32
Majagual,min,24,25,25,25,25,25,25,25,24,24,24,24
Malambo,max,31,31,32,32,33,32,32,32,32,32,31,31
Malambo,min,24,25,25,25,26,25,25,25,25,25,25,25
Manaure,max,29,29,30,30,30,30,30,31,31,31,30,30
Manaure,min,24,24,25,25,26,26,26,26,26,26,26,25
Manizales,max,23,23,23,22,22,22,22,23,22,22,22,22
Manizales,min,23,23,23,22,22,22,22,23,22,22,22,22
Manzanares,max,19,20,20,19,19,19,19,20,20,19,18,19
Manzanares,min,19,20,20,19,19,19,19,20,20,19,18,19
María la Baja,max,34,34,34,34,33,33,34,33,32,32,32,33
María la Baja,min,23,24,25,25,25,25,25,25,25,24,24,24
Marinilla,max,21,21,22,22,22,22,22,22,22,21,21,21
Marinilla,min,13,13,13,14,14,13,13,13,13,13,13,13
Mariquita,max,32,32,32,31,31,31,32,33,32,31,31,31
Mariquita,min,23,23,23,23,23,23,23,23,23,23,23,23
Marsella,max,26,26,26,25,25,25,26,26,25,25,25,25
Marsella,min,17,18,18,18,18,18,17,17,17,17,17,17
Medellín,max,25,25,25,25,26,26,26,26,25,25,25,25
Medellín,min,17,17,17,18,18,17,17,17,17,17,17,17
Melgar,max,34,34,34,33,33,33,33,34,34,33,33,33
Melgar,min,23,23,24,24,24,24,23,23,23,23,23,23
Miraflores,max,29,29,29,28,27,27,27,28,28,28,28,28
Miraflores,min,22,22,23,23,22,22,21,22,22,22,22,22
Miranda,max,29,29,29,29,29,29,29,30,29,29,28,28
Miranda,min,19,19,19,19,19,19,19,19,19,19,19,19
Mitú,max,28,28,29,28,28,27,27,28,28,28,28,28
Mitú,min,22,23,23,23,22,22,22,22,22,22,23,22
Mocoa,max,28,28,28,27,27,26,26,27,28,28,28,28
Mocoa,min,21,21,21,21,20,19,19,19,20,20,21,21
Moniquirá,max,24,24,24,23,23,23,22,22,22,23,23,23
Moniquirá,min,12,12,13,14,14,14,13,13,13,13,13,12
Montelíbano,max,33,34,35,33,31,31,31,31,30,30,31,31
Montelíbano,min,23,23,24,24,24,24,24,24,24,24,24,23
Montenegro,max,27,27,27,26,26,26,27,27,26,26,25,26
Montenegro,min,18,18,18,18,18,18,18,18,18,18,18,18
Montería,max,34,35,35,34,32,32,32,32,31,31,31,32
Montería,min,24,24,24,25,25,25,25,25,24,24,24,24
Moñitos,max,33,34,34,33,31,31,31,31,30,30,30,31
Moñitos,min,23,23,24,24,24,24,24,24,24,24,24,24
Morales,max,24,24,24,24,24,24,25,25,25,24,23,24
Morales,min,15,15,15,15,15,15,15,15,15,15,15,15
Mosquera,max,19,20,19,19,19,18,18,18,19,19,19,19
Mosquera,min,7,8,9,10,10,9,9,9,8,9,9,8
Nariño,max,18,19,19,19,18,18,18,19,19,19,18,18
Nariño,min,11,11,11,11,10,9,9,9,9,10,10,10
Natagaima,max,35,35,35,34,34,35,36,37,37,35,33,34
Natagaima,min,24,24,24,24,24,24,24,24,24,24,24,24
Necocli,max,30,30,31,30,30,29,29,29,29,29,29,29
Necocli,min,25,25,25,25,26,26,26,26,25,25,25,25
Neira,max,24,24,24,23,23,23,24,24,23,23,23,23
Neira,min,24,24,24,23,23,23,24,24,23,23,23,23
Neiva,max,32,32,32,31,31,32,32,33,33,32,31,31
Neiva,min,23,23,23,23,23,23,23,24,24,23,23,23
Ocaña,max,24,24,24,24,24,25,25,26,25,24,23,23
Ocaña,min,16,16,17,17,17,18,18,18,17,17,17,17
Olaya Herrera,max,23,24,24,24,24,24,24,24,25,24,24,23
Olaya Herrera,min,16,16,16,16,15,14,14,14,14,15,15,15
Orito,max,30,30,30,29,29,28,28,30,31,30,29,30
Orito,min,23,23,23,22,22,21,21,21,22,22,23,23
Ortega,max,34,35,34,33,33,34,35,36,36,34,33,33
Ortega,min,24,24,24,24,24,23,23,24,24,24,23,23
Ovejas (Sucre),max,34,34,34,34,33,32,33,32,32,31,31,32
Ovejas (Sucre),min,21,22,23,24,23,23,23,23,23,22,22,22
Páez,max,27,28,27,27,26,25,24,25,25,26,26,27
Páez,min,15,16,17,18,18,18,17,17,17,17,17,16
Paipa,max,19,20,19,19,19,18,17,17,18,18,19,19
Paipa,min,8,8,9,10,10,9,9,9,8,9,9,8
Palermo,max,31,31,31,30,30,31,31,32,32,31,30,30
Palermo,min,22,22,22,22,22,22,22,22,22,22,22,22
Palmar de Varela,max,32,33,33,34,33,33,33,33,33,32,32,32
Palmar de Varela,min,24,25,25,26,26,25,25,25,25,24,25,25
Palmira,max,29,30,29,29,29,29,30,30,30,29,28,29
Palmira,min,19,19,20,20,20,19,19,19,19,19,19,19
Patía,max,30,30,31,30,31,31,31,32,32,31,30,30
Patía,min,21,21,21,21,21,21,20,20,21,21,21,21
Pereira,max,26,26,26,25,25,25,25,26,25,25,25,25
Pereira,min,17,18,18,18,18,17,17,17,17,17,17,17
Piedecuesta,max,25,26,26,26,26,26,26,26,26,25,25,25
Piedecuesta,min,20,20,20,20,20,20,20,20,20,20,20,20
Pinillos,max,36,37,38,36,33,33,34,33,31,30,31,33
Pinillos,min,25,25,26,26,26,25,25,25,25,24,24,24
Pitalito,max,25,25,25,25,25,25,24,25,26,25,24,25
Pitalito,min,17,17,17,17,17,17,17,17,17,17,17,17
Pivijay,max,35,36,36,36,35,35,35,35,34,33,33,34
Pivijay,min,24,24,25,26,25,25,25,25,24,24,24,24
Planadas,max,27,27,27,26,26,27,27,29,29,27,26,26
Planadas,min,17,17,17,17,17,16,16,17,17,17,17,17
Planeta Rica,max,34,35,36,34,32,32,32,32,31,31,31,32
Planeta Rica,min,23,23,23,24,24,24,24,24,23,23,23,23
Plato,max,36,37,37,36,35,35,35,35,34,33,33,35
Plato,min,23,24,25,25,25,25,25,24,24,23,23,23
Popayán,max,24,24,24,23,24,24,24,25,24,23,23,23
Popayán,min,15,15,15,15,15,14,14,14,15,15,14,15
Potosí,max,18,18,18,18,17,17,17,18,18,18,18,18
Potosí,min,10,10,10,10,10,9,9,9,9,10,10,10
Pradera,max,29,30,29,29,29,29,30,30,30,29,28,29
Pradera,min,19,19,20,19,19,19,19,19,19,19,19,19
Pueblo Nuevo,max,33,35,35,33,31,30,30,30,30,29,30,31
Pueblo Nuevo,min,24,24,25,25,25,24,24,24,24,24,24,24
Puerto Asís,max,30,30,30,29,28,28,28,30,31,30,29,29
Puerto Asís,min,23,23,23,22,22,21,21,21,22,22,23,23
